Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
11,Fiorentina,9,3,3,4,12,13,18,1990,10,serie_a
12,SSC Bari,9,2,5,3,11,12,18,1990,10,serie_a
13,Genoa,9,3,3,4,11,12,18,1990,10,serie_a
14,Ascoli,8,2,4,4,8,11,18,1990,10,serie_a
15,Udinese,8,2,4,4,13,17,18,1990,10,serie_a
16,Cremonese,6,1,4,5,8,13,18,1990,10,serie_a
17,Cesena,6,1,4,5,4,11,18,1990,10,serie_a
18,Hellas Verona,4,0,4,6,7,15,18,1990,10,serie_a
1,Napoli,18,7,4,0,18,8,18,1990,11,serie_a
2,Inter,16,7,2,2,19,10,18,1990,11,serie_a
3,Juventus,14,6,2,3,20,13,18,1990,11,serie_a
4,Sampdoria,14,6,2,3,17,12,18,1990,11,serie_a
5,Roma,13,5,3,3,15,13,18,1990,11,serie_a
6,Bologna,13,3,7,1,11,10,18,1990,11,serie_a
7,Atalanta,13,6,1,4,10,9,18,1990,11,serie_a
8,Milan,12,5,2,4,13,11,18,1990,11,serie_a
9,Lazio,10,3,4,4,11,11,18,1990,11,serie_a
10,SSC Bari,10,2,6,3,11,12,18,1990,11,serie_a
11,Genoa,10,3,4,4,11,12,18,1990,11,serie_a
12,Lecce,10,4,2,5,11,14,18,1990,11,serie_a
13,Fiorentina,9,3,3,5,12,14,18,1990,11,serie_a
14,Udinese,9,2,5,4,15,19,18,1990,11,serie_a
15,Ascoli,8,2,4,5,8,12,18,1990,11,serie_a
16,Cesena,8,2,4,5,5,11,18,1990,11,serie_a
17,Cremonese,7,1,5,5,10,15,18,1990,11,serie_a
18,Hellas Verona,4,0,4,7,7,18,18,1990,11,serie_a
1,Napoli,19,7,5,0,19,9,18,1990,12,serie_a
2,Inter,16,7,2,3,19,13,18,1990,12,serie_a
3,Juventus,15,6,3,3,22,15,18,1990,12,serie_a
4,Sampdoria,15,6,3,3,18,13,18,1990,12,serie_a
5,Bologna,15,4,7,1,12,10,18,1990,12,serie_a
6,Milan,14,6,2,4,16,11,18,1990,12,serie_a
7,Roma,14,5,4,3,16,14,18,1990,12,serie_a
8,Atalanta,14,6,2,4,10,9,18,1990,12,serie_a
9,Lecce,12,5,2,5,13,15,18,1990,12,serie_a
10,Fiorentina,11,4,3,5,17,15,18,1990,12,serie_a
11,Lazio,11,3,5,4,12,12,18,1990,12,serie_a
12,SSC Bari,11,2,7,3,11,12,18,1990,12,serie_a
13,Genoa,10,3,4,5,13,15,18,1990,12,serie_a
14,Udinese,10,2,6,4,17,21,18,1990,12,serie_a
